state,county.x,city,college,cases,state_id,county_fips,lat,long
Alabama,Tuscaloosa,Tuscaloosa,University of Alabama,3219,AL,01125,33.2348,-87.5267
Alabama,Jefferson,Birmingham,University of Alabama at Birmingham,2119,AL,01073,33.5277,-86.7987
Alabama,Lee,Auburn,Auburn University,2079,AL,01081,32.6087,-85.4899
Alabama,Pike,Troy,Troy University,715,AL,01109,31.8021,-85.9665
Alabama,Jefferson,Birmingham,Samford University,461,AL,01073,33.5277,-86.7987
Alabama,Mobile,Mobile,University of South Alabama,457,AL,01097,30.6783,-88.1162
Alabama,Lauderdale,Florence,University of North Alabama,426,AL,01077,34.8303,-87.6654
Alabama,Calhoun,Jacksonville,Jacksonville State University,219,AL,01015,33.8088,-85.7545
Alabama,Jefferson,Birmingham,Birmingham-Southern College,214,AL,01073,33.5277,-86.7987
Alabama,Madison,Huntsville,University of Alabama in Huntsville,173,AL,01089,34.6988,-86.6412
Alaska,Fairbanks North Star Borough,Fairbanks,University of Alaska Fairbanks,104,AK,02090,64.8353,-147.6534
Alaska,Anchorage Municipality,Anchorage,University of Alaska Anchorage,11,AK,02020,61.1508,-149.1091
Alaska,Juneau City and Borough,Juneau,University of Alaska Southeast,1,AK,02110,58.4546,-134.1739
Alaska,North Slope Borough,Utqiagvik,Ilisagvik College,NA,AK,02185,71.2728,-156.7575
Arizona,Maricopa,Tempe,Arizona State University,2862,AZ,04013,33.3881,-111.9318
Arizona,Pima,Tucson,University of Arizona,2643,AZ,04019,32.1545,-110.8782
Arizona,Maricopa,Phoenix,Grand Canyon University,474,AZ,04013,33.5722,-112.0891
Arizona,Coconino,Flagstaff,Northern Arizona University,278,AZ,04005,35.1872,-111.6195
Arizona,Maricopa,Glendale,Midwestern University at Glendale,96,AZ,04013,33.5791,-112.2311
Arizona,Yavapai,Prescott,Embry-Riddle Aeronautical University at Prescott,45,AZ,04025,34.585,-112.4475
Arizona,Yuma,Yuma,Arizona Western College,41,AZ,04027,32.5992,-114.5488
Arizona,Apache,Tsaile,Dine College,5,AZ,04001,36.3033,-109.2157
Arizona,Mohave,Kingman,Mohave Community College,0,AZ,04015,35.217,-114.0105
Arkansas,Washington,Fayetteville,University of Arkansas,2452,AR,05143,36.0713,-94.166
Arkansas,Craighead,Jonesboro,Arkansas State University,1026,AR,05031,35.8212,-90.6791
Arkansas,Conway,Conway,University of Central Arkansas,481,AR,05045,35.0754,-92.4694
Arkansas,Pope,Russellville,Arkansas Tech University,402,AR,05115,35.2763,-93.1383
Arkansas,White,Searcy,Harding University,340,AR,05145,35.2418,-91.7351
Arkansas,Columbia,Magnolia,Southern Arkansas University,184,AR,05027,33.2774,-93.2261
Arkansas,Jefferson,Pine Bluff,University of Arkansas at Pine Bluff,184,AR,05069,34.2116,-92.0178
Arkansas,Clark,Arkadelphia,Ouachita Baptist University,183,AR,05019,34.1255,-93.0725
Arkansas,Pulaski,Little Rock,University of Arkansas at Little Rock,183,AR,05119,34.7256,-92.3576
Arkansas,Sebastian,Fort Smith,University of Arkansas at Fort Smith,133,AR,05131,35.3493,-94.3695
California,San Diego,San Diego,San Diego State University System,1450,CA,06073,32.8312,-117.1225
California,San Luis Obispo,San Luis Obispo,"California Polytechnic State University, San Luis Obispo",626,CA,06079,35.2669,-120.6691
California,Los Angeles,Los Angeles,University of Southern California,608,CA,06037,34.1139,-118.4068
California,San Diego,San Diego,"University of California, San Diego",497,CA,06073,32.8312,-117.1225
California,Los Angeles,Los Angeles,"University of California, Los Angeles",386,CA,06037,34.1139,-118.4068
California,San Francisco,San Francisco,"University of California, San Francisco",307,CA,06075,37.7562,-122.443
California,Alameda,Berkeley,"University of California, Berkeley",249,CA,06001,37.8723,-122.276
California,Butte,Chico,"California State University, Chico",208,CA,06007,39.7575,-121.8152
California,San Diego,San Diego,University of San Diego,196,CA,06073,32.8312,-117.1225
California,Orange,Irvine,"University of California, Irvine",181,CA,06059,33.6772,-117.7738
Colorado,Boulder,Boulder,University of Colorado Boulder,2236,CO,08013,40.0249,-105.2523
Colorado,Larimer,Fort Collins,Colorado State University,1149,CO,08069,40.5478,-105.0656
Colorado,Mesa,Grand Junction,Colorado Mesa University,578,CO,08077,39.0876,-108.5673
Colorado,Denver,Denver,University of Denver,289,CO,08031,39.7621,-104.8759
Colorado,Jefferson,Golden,Colorado School of Mines,266,CO,08059,39.7406,-105.2118
Colorado,Weld,Greeley,University of Northern Colorado,262,CO,08123,40.4151,-104.7706
Colorado,Pueblo,Pueblo,Colorado State University-Pueblo,164,CO,08101,38.2705,-104.6112
Colorado,El Paso,Colorado Springs,University of Colorado Colorado Springs,140,CO,08041,38.8674,-104.7606
Colorado,La Plata,Durango,Fort Lewis College,134,CO,08067,37.2659,-107.8782
Colorado,Denver,Denver,Regis University,134,CO,08031,39.7621,-104.8759
Connecticut,Fairfield,Fairfield,Sacred Heart University,725,NA,NA,41.220893,-73.243332
Connecticut,Tolland,Storrs,University of Connecticut,673,CT,09013,41.8045,-72.2552
Connecticut,Fairfield,Fairfield,Fairfield University,586,NA,NA,41.157673,-73.255903
Connecticut,New Haven,Hamden,Quinnipiac University,422,NA,NA,41.418915,-72.894117
Connecticut,New Haven,New Haven,Yale University,366,CT,09009,41.3112,-72.9246
Connecticut,New Haven,West Haven,University of New Haven,190,CT,09009,41.2739,-72.9672
Connecticut,Hartford,New Britain,Central Connecticut State University,136,CT,09003,41.6758,-72.7862
Connecticut,Hartford,Hartford,Trinity College,113,CT,09003,41.7661,-72.6834
Connecticut,New Haven,New Haven,Southern Connecticut State University,111,CT,09009,41.3112,-72.9246
Connecticut,Hartford,West Hartford,University of Hartford,85,NA,NA,41.798591,-72.715213
Delaware,New Castle,Newark,University of Delaware,683,DE,10003,39.6776,-75.7573
Delaware,Kent,Dover,Delaware State University,77,DE,10001,39.161,-75.5203
Delaware,Sussex,Georgetown,Delaware Technical Community College Georgetown,45,DE,10005,38.6894,-75.387200000000007
Delaware,New Castle,Stanton,Delaware Technical Community College Stanton,20,NA,NA,NA,NA
Delaware,Kent,Dover,Wesley College,20,DE,10001,39.161,-75.5203
Delaware,Kent,Dover,Delaware Technical Community College Dover,7,DE,10001,39.161,-75.5203
Delaware,New Castle,Wilmington,Goldey-Beacom College,0,DE,10003,39.7415,-75.5413
Delaware,New Castle,New Castle,Wilmington University,NA,DE,10003,39.6685,-75.5692
Florida,Alachua,Gainesville,University of Florida,5008,FL,12001,29.6804,-82.3458
Florida,Orange,Orlando,University of Central Florida,2100,FL,12095,28.4772,-81.3369
Florida,Leon,Tallahassee,Florida State University,1738,FL,12073,30.4551,-84.2526
Florida,Miami-Dade,Miami,University of Miami,1164,FL,12086,25.7839,-80.2102
Florida,Hillsborough,Tampa,University of South Florida,864,FL,12057,27.9942,-82.4451
Florida,Hillsborough,Tampa,University of Tampa,793,FL,12057,27.9942,-82.4451
Florida,Lee,Fort Myers,Florida Gulf Coast University,429,FL,12071,26.6195,-81.8303
Florida,Palm Beach,Boca Raton,Florida Atlantic University,346,FL,12099,26.3752,-80.108
Florida,Duval,Jacksonville,University of North Florida,292,FL,12031,30.3322,-81.6749
Florida,Miami-Dade,Miami,Florida International University,240,FL,12086,25.7839,-80.2102
Georgia,Clarke,Athens,University of Georgia,4387,GA,13059,33.9508,-83.3689
Georgia,Fulton,Atlanta,Georgia Institute of Technology,1323,GA,13121,33.7627,-84.4224
Georgia,Bulloch,Statesboro,Georgia Southern University,1287,GA,13031,32.4376,-81.775
Georgia,Baldwin,Milledgeville,Georgia College & State University,757,GA,13009,33.0874,-83.2414
Georgia,Cobb,Kennesaw,Kennesaw State University,656,GA,13067,34.026,-84.6177
Georgia,Lumpkin,Dahlonega,University of North Georgia,539,GA,13187,34.5309,-83.9804
Georgia,Bibb,Macon,Mercer University,334,GA,13021,32.8065,-83.6974
Georgia,Richmond,Augusta,Augusta University,327,GA,13245,33.3645,-82.0708
Georgia,Fulton,Atlanta,Georgia State University,319,GA,13121,33.7627,-84.4224
Georgia,Fulton,Atlanta,Emory University,291,GA,13121,33.7627,-84.4224
Hawaii,Honolulu,Honolulu,University of Hawaii at Manoa,36,HI,15003,21.3294,-157.846
Hawaii,Honolulu,Laie,Brigham Young University-Hawaii,6,HI,15003,21.6443,-157.928
Hawaii,Honolulu,Honolulu,Kapiolani Community College,4,HI,15003,21.3294,-157.846
Hawaii,Hawaii,Hilo,University of Hawaii at Hilo,4,HI,15001,19.6886,-155.0864
Hawaii,Honolulu,Pearl City,Leeward Community College,3,HI,15003,21.4031,-157.9566
Hawaii,Honolulu,Honolulu,Hawaii Pacific University,1,HI,15003,21.3294,-157.846
Hawaii,Maui,Kahului,University of Hawaii Maui College,1,HI,15009,20.8715,-156.4603
Hawaii,Honolulu,Kapolei,University of Hawaii-West Oahu,1,HI,15003,21.3403,-158.0665
Hawaii,Honolulu,Honolulu,Chaminade University of Honolulu,NA,HI,15003,21.3294,-157.846
Idaho,Madison,Rexburg,Brigham Young University-Idaho,1292,ID,16065,43.8224,-111.792
Idaho,Ada,Boise,Boise State University,796,ID,16001,43.6007,-116.2312
Idaho,Latah,Moscow,University of Idaho,543,ID,16057,46.7307,-116.9986
Idaho,Bannock,Pocatello,Idaho State University,498,ID,16005,42.8724,-112.4646
Idaho,Twin Falls,Twin Falls,College of Southern Idaho,199,ID,16083,42.5645,-114.4615
Idaho,Canyon,Nampa,Northwest Nazarene University,138,ID,16027,43.5845,-116.5631
Idaho,Kootenai,Coeur d'Alene,North Idaho College,119,ID,16055,47.7041,-116.7935
Idaho,Nez Perce,Lewiston,Lewis-Clark State College,112,ID,16069,46.3934,-116.9934
Idaho,Canyon,Caldwell,College of Idaho,61,ID,16027,43.6453,-116.6591
Illinois,Champaign,Champaign,University of Illinois Urbana-Champaign,3892,IL,17019,40.1144,-88.2735
Illinois,McLean,Normal,Illinois State University,1771,IL,17113,40.5218,-88.9881
Illinois,Cook,Chicago,University of Illinois at Chicago,699,IL,17031,41.8373,-87.6862
Illinois,Dekalb,Dekalb,Northern Illinois University,500,NA,NA,41.933869,-88.766428
Illinois,Coles,Charleston,Eastern Illinois University,445,IL,17029,39.4842,-88.1781
Illinois,Peoria,Peoria,Bradley University,405,IL,17143,40.752,-89.6153
Illinois,Cook,Chicago,University of Chicago,324,IL,17031,41.8373,-87.6862
Illinois,Cook,Evanston,Northwestern University,298,IL,17031,42.0463,-87.6942
Illinois,McDonough,Macomb,Western Illinois University,257,IL,17109,40.4721,-90.6816
Illinois,Adams,Quincy,Quincy University,244,IL,17001,39.9335,-91.3799
Indiana,Monroe,Bloomington,Indiana University Bloomington,3754,IN,18105,39.1637,-86.5257
Indiana,Tippecanoe,West Lafayette,Purdue University,2700,IN,18157,40.4432,-86.9239
Indiana,St. Joseph,Notre Dame,University of Notre Dame,1665,IN,18141,41.7014,-86.2378
Indiana,Delaware,Muncie,Ball State University,1283,IN,18035,40.1989,-85.395
Indiana,Vanderburgh,Evansville,University of Southern Indiana,489,IN,18163,37.9881,-87.5341
Indiana,Marion,Indianapolis,Butler University,323,IN,18097,39.7771,-86.1458
Indiana,Marion,Indianapolis,University of Indianapolis,280,IN,18097,39.7771,-86.1458
Indiana,Steuben,Angola,Trine University,210,IN,18151,41.6433,-85.0051
Indiana,Marion,Indianapolis,Indiana University-Purdue University Indianapolis,198,IN,18097,39.7771,-86.1458
Indiana,Allen,Fort Wayne,Purdue University Fort Wayne,180,IN,18003,41.0886,-85.1437
Iowa,Johnson,Iowa City,University of Iowa,2749,IA,19103,41.6559,-91.5303
Iowa,Story,Ames,Iowa State University,2169,IA,19169,42.0259,-93.6215
Iowa,Black Hawk,Cedar Falls,University of Northern Iowa,438,IA,19013,42.5195,-92.4534
Iowa,Black Hawk,Waterloo,Hawkeye Community College,259,IA,19013,42.492,-92.3522
Iowa,Scott,Davenport,Saint Ambrose University,225,IA,19163,41.5563,-90.6052
Iowa,Woodbury,Sioux City,Morningside College,171,IA,19193,42.4959,-96.3901
Iowa,Henry,Mount Pleasant,Iowa Wesleyan University,161,IA,19087,40.9625,-91.5452
Iowa,Decatur,Lamoni,Graceland University,160,IA,19053,40.6202,-93.9307
Iowa,Polk,Des Moines,Grand View University,146,IA,19153,41.5725,-93.6105
Iowa,Dubuque,Dubuque,Clarke University,123,IA,19061,42.5008,-90.7067
Kansas,Douglas,Lawrence,University of Kansas,1249,KS,20045,38.9597,-95.2641
Kansas,Riley,Manhattan,Kansas State University,1183,KS,20161,39.1886,-96.6046
Kansas,Ellis,Hays,Fort Hays State University,307,KS,20051,38.8815,-99.3218
Kansas,Crawford,Pittsburg,Pittsburg State University,286,KS,20037,37.4129,-94.6984
Kansas,Shawnee,Topeka,Washburn University,215,KS,20177,39.0346,-95.6955
Kansas,Butler,El Dorado,Butler Community College,212,KS,20015,37.8209,-96.8614
Kansas,Lyon,Emporia,Emporia State University,188,KS,20111,38.4028,-96.1924
Kansas,Sedgwick,Wichita,Wichita State University,149,KS,20173,37.6896,-97.3442
Kansas,Harvey,North Newton,Bethel College,140,KS,20079,38.0767,-97.3475
Kansas,Johnson,Overland Park,Johnson County Community College,136,KS,20091,38.887,-94.687
Kentucky,Fayette,Lexington,University of Kentucky,2845,KY,21067,38.0423,-84.4587
Kentucky,Jefferson,Louisville,University of Louisville,1259,KY,21111,38.1663,-85.6485
Kentucky,Warren,Bowling Green,Western Kentucky University,904,KY,21227,36.9719,-86.4373
Kentucky,Calloway,Murray,Murray State University,437,KY,21035,36.6146,-88.3206
Kentucky,Madison,Richmond,Eastern Kentucky University,372,KY,21151,37.7306,-84.2926
Kentucky,Jefferson,Louisville,Bellarmine University,209,KY,21111,38.1663,-85.6485
Kentucky,Scott,Georgetown,Georgetown College,178,KY,21209,38.2249,-84.5482
Kentucky,Fayette,Lexington,Bluegrass Community and Technical College,166,KY,21067,38.0423,-84.4587
Kentucky,Rowan,Morehead,Morehead State University,163,KY,21205,38.1906,-83.4467
Kentucky,Pike,Pikeville,University of Pikeville,133,KY,21195,37.4807,-82.5262
Louisiana,East Baton Rouge,Baton Rouge,Louisiana State University,1354,LA,22033,30.4418,-91.131
Louisiana,Orleans,New Orleans,Tulane University of Louisiana,1189,LA,22071,30.0687,-89.9288
Louisiana,Lincoln,Ruston,Louisiana Tech University,480,LA,22061,32.5329,-92.6363
Louisiana,Lafayette,Lafeyette,University of Louisiana at Lafayette,464,NA,NA,30.212191,-92.020165
Louisiana,Natchitoches,Natchitoches,Northwestern State University of Louisiana,349,LA,22069,31.7317,-93.0979
Louisiana,Orleans,New Orleans,"Louisiana State University Health Sciences Center, New Orleans",325,LA,22071,30.0687,-89.9288
Louisiana,Ouachita,Monroe,University of Louisiana Monroe,239,LA,22073,32.5183,-92.0774
Louisiana,Tangipahoa,Hammond,Southeastern Louisiana University,211,LA,22105,30.5061,-90.4563
Louisiana,East Baton Rouge,Baton Rouge,Southern University and A&M College,202,LA,22033,30.4418,-91.131
Louisiana,Lafourche,Thibodaux,Nicholls State University,172,LA,22057,29.7941,-90.8163
Maine,Penobscot,Orono,University of Maine,47,NA,NA,44.899257,-68.669332
Maine,York,Biddeford,University of New England,26,ME,23031,43.4674,-70.4512
Maine,Cumberland,Portland,University of Southern Maine,21,ME,23005,43.6773,-70.2715
Maine,Kennebec,Waterville,Colby College,15,ME,23011,44.5441,-69.6624
Maine,Cumberland,Standish,Saint Joseph's College of Maine,15,NA,NA,43.826314000000004,-70.483373
Maine,Androscoggin,Lewiston,Bates College,13,ME,23001,44.0915,-70.1681
Maine,Hancock,Castine,Maine Maritime Academy,12,NA,NA,44.389654,-68.804347
Maine,Kennebec,Augusta,University of Maine at Augusta,9,ME,23011,44.3341,-69.7319
Maine,Franklin,Farmington,University of Maine Farmington,7,NA,NA,NA,NA
Maine,Penobscot,Bangor,Husson University,6,ME,23019,44.8322,-68.7906
Maryland,Prince George's,College Park,"University of Maryland, College Park",952,MD,24033,38.996,-76.9337
Maryland,Baltimore City,Baltimore,Johns Hopkins University,596,MD,24510,39.3051,-76.6144
Maryland,Wicomico,Salisbury,Salisbury University,507,MD,24045,38.3756,-75.5867
Maryland,Baltimore,Towson,Towson University,502,MD,24005,39.3944,-76.619
Maryland,Allegany,Frostburg,Frostburg State University,158,MD,24001,39.6506,-78.9269
Maryland,Baltimore,Stevenson,Stevenson University,85,NA,NA,39.421988,-76.702092
Maryland,Prince George's,Bowie,Bowie State University,75,MD,24033,38.9569,-76.7409
Maryland,Baltimore,Catonsville,"University of Maryland, Baltimore County",54,MD,24005,39.2646,-76.7424
Maryland,Somerset,Princess Anne,University of Maryland Eastern Shore,40,MD,24039,38.2054,-75.6969
Maryland,Frederick,Frederick,Hood College,27,MD,24021,39.4336,-77.4141
Massachusetts,Suffolk,Boston,Boston University,362,MA,25025,42.3188,-71.0846
Massachusetts,Hampshire,Amherst,University of Massachusetts Amherst,322,MA,25015,42.3645,-72.5069
Massachusetts,Middlesex,Chestnut Hill,Boston College,293,NA,NA,42.336213,-71.169242
Massachusetts,Suffolk,Boston,Northeastern University,275,MA,25025,42.3188,-71.0846
Massachusetts,Middlesex,Cambridge,Harvard University,205,MA,25017,42.3759,-71.1185
Massachusetts,Essex,North Andover,Merrimack College,167,NA,NA,42.668344,-71.124216
Massachusetts,Middlesex,Cambridge,Massachusetts Institute of Technology,150,MA,25017,42.3759,-71.1185
Massachusetts,Middlesex,Waltham,Bentley University,99,MA,25017,42.3889,-71.2423
Massachusetts,Hampden,Westfield,Westfield State University,90,MA,25013,42.1382,-72.7561
Massachusetts,Norfolk,Milton,Curry College,75,NA,NA,42.238061,-71.116539
Michigan,Washtenaw,Ann Arbor,University of Michigan,2545,MI,26161,42.2755,-83.7312
Michigan,Ingham,East Lansing,Michigan State University,2057,MI,26065,42.748,-84.4835
Michigan,Ottawa,Allendale,Grand Valley State University,1563,MI,26139,42.9851,-85.9509
Michigan,Kalamazoo,Kalamazoo,Western Michigan University,1068,MI,26077,42.2749,-85.5882
Michigan,Isabella,Mount Pleasant,Central Michigan University,596,MI,26073,43.5966,-84.7759
Michigan,Mecosta,Big Rapids,Ferris State University,451,MI,26107,43.6992,-85.4806
Michigan,Lenawee,Adrian,Adrian College,295,MI,26091,41.8994,-84.0446
Michigan,Washtenaw,Ypsilanti,Eastern Michigan University,269,MI,26161,42.2437,-83.6205
Michigan,Houghton,Houghton,Michigan Technological University,254,MI,26061,47.1119,-88.5672
Michigan,Marquette,Marquette,Northern Michigan University,245,MI,26103,46.544,-87.4082
Minnesota,Hennepin,Minneapolis,University of Minnesota Twin Cities,809,MN,27053,44.9635,-93.2678
Minnesota,Winona,Winona,Winona State University,546,MN,27169,44.0505,-91.6684
Minnesota,Ramsey,St. Paul,University of St. Thomas,495,MN,27123,44.9477,-93.104
Minnesota,Blue Earth,Mankato,"Minnesota State University, Mankato",393,MN,27013,44.1712,-93.9773
Minnesota,St. Louis,Duluth,University of Minnesota Duluth,344,MN,27137,46.7756,-92.1392
Minnesota,Ramsey,Saint Paul,Bethel University,283,NA,NA,41.678399,-86.194686
Minnesota,Ramsey,Saint Paul,Bethel University,283,NA,NA,45.057655,-93.161663
Minnesota,Ramsey,Saint Paul,Bethel University,283,NA,NA,36.137848,-88.516762
Minnesota,Beltrami,Bemidji,Bemidji State University,245,MN,27007,47.4828,-94.8796
Minnesota,Stearns,St. Cloud,St. Cloud State University,241,MN,27145,45.5339,-94.1718
Minnesota,Clay,Moorhead,Concordia College at Moorhead,227,MN,27027,46.8673,-96.7461
Minnesota,Clay,Moorhead,Minnesota State University Moorhead,221,MN,27027,46.8673,-96.7461
Mississippi,Lafayette,Oxford,University of Mississippi,836,MS,28071,34.3627,-89.5336
Mississippi,Hinds,Jackson,University of Mississippi Medical Center,711,MS,28049,32.3163,-90.2124
Mississippi,Oktibbeha,Mississippi State,Mississippi State University,657,MS,28105,33.4515,-88.7913
Mississippi,Forrest,Hattiesburg,University of Southern Mississippi,411,MS,28035,31.3074,-89.317
Mississippi,Hinds,Clinton,Mississippi College,169,MS,28049,32.354,-90.3403
Mississippi,Bolivar,Cleveland,Delta State University,149,MS,28011,33.744,-90.7285
Mississippi,Jefferson,Lorman,Alcorn State University,128,NA,NA,31.877216,-91.142854
Mississippi,Leflore,Itta Bena,Mississippi Valley State University,112,MS,28083,33.5003,-90.3256
Mississippi,Hinds,Jackson,Belhaven University,76,MS,28049,32.3163,-90.2124
Mississippi,Prentiss,Booneville,Northeast Mississippi Community College,60,MS,28117,34.6643,-88.5684
Missouri,Boone,Columbia,University of Missouri,2469,MO,29019,38.9478,-92.3256
Missouri,Greene,Springfield,Missouri State University,1427,MO,29077,37.1943,-93.2916
Missouri,Johnson,Warrensburg,University of Central Missouri,707,MO,29101,38.7627,-93.726
Missouri,Nodaway,Maryville,Northwest Missouri State University,692,MO,29147,40.3428,-94.8701
Missouri,Cape Girardeau,Cape Girardeau,Southeast Missouri State University,532,MO,29031,37.3108,-89.5597
Missouri,Greene,Springfield,Ozarks Technical Community College,483,MO,29077,37.1943,-93.2916
Missouri,City of St. Louis,St. Louis,Saint Louis University,439,MO,29510,38.6358,-90.2451
Missouri,Kansas City,Kansas City,University of Missouri-Kansas City,287,MO,29095,39.1239,-94.5541
Missouri,Howard,Fayette,Central Methodist University,284,MO,29089,39.147,-92.6857
